22,46,-259,-9,22,26
19,51,-258,-111,27,23
22,64,-260,-132,8,-24
23,74,-265,-38,-20,-208
19,37,-258,478,-30,-158
26,37,-255,-473,-122,-172
40,149,-272,-1418,-173,-783
9,134,-254,1502,133,-1296
5,28,-230,1463,354,-1697
30,5,-256,82,258,-1790
23,5,-233,-577,280,-1713
34,6,-248,-791,330,-1440
60,68,-313,-1668,56,-1286
38,19,-271,329,201,-872
45,4,-256,-991,-137,-281
34,61,-267,-544,-149,220
30,64,-250,194,-78,540
34,55,-258,-97,-86,767
39,50,-270,36,-206,1116
34,47,-264,187,-293,1425
47,59,-270,809,-253,1673
45,45,-255,35,-297,1647
21,33,-253,35,-189,1668
41,83,-257,-57,-242,1526
30,63,-254,758,-60,1296
31,34,-252,-89,13,1041
36,77,-264,-711,-34,795
36,82,-261,-126,45,405
39,63,-256,324,116,202
35,46,-261,-43,67,83
39,45,-263,-68,33,-10
31,43,-264,44,10,-53
41,58,-258,-308,-47,-207
35,79,-258,-140,-62,-431
41,88,-256,-89,1,-845
36,93,-254,60,134,-1254
32,67,-249,380,263,-1540
34,38,-254,114,358,-1669
48,43,-260,-575,470,-1772
49,44,-269,-372,571,-1694
59,33,-266,164,521,-1427
66,32,-265,-233,250,-1080
59,50,-264,-222,56,-657
59,52,-266,-104,-52,-321
49,61,-264,207,-131,40
50,41,-255,-181,-229,298
33,65,-266,-11,-236,532
35,46,-251,121,-152,717
40,49,-259,-163,-180,911
41,41,-273,461,-183,1219
45,23,-270,413,-197,1527
41,35,-255,88,-309,1631
41,48,-268,360,-216,1727
21,49,-255,-514,-314,1453
37,61,-256,334,-108,1334
43,97,-260,-508,-179,965
24,64,-249,173,-29,587
38,62,-256,-62,21,467
39,71,-259,-301,22,235
29,55,-256,180,86,109
33,47,-259,-112,42,45
33,55,-267,94,9,11
38,37,-260,-112,-74,-75
25,54,-262,233,-14,-80
29,18,-257,154,13,-63
25,33,-266,-3,-18,-8
31,35,-256,-140,-26,16
33,81,-254,-814,-72,-252
50,149,-243,-985,129,-947
34,139,-244,1185,401,-1601
36,45,-222,402,376,-1955
37,55,-256,-529,436,-2149
53,43,-279,164,613,-2207
73,6,-271,178,461,-1899
68,-19,-265,-638,133,-1330
73,11,-283,-316,-130,-390
57,16,-269,179,-296,470
53,1,-256,216,-276,1230
53,0,-273,42,-402,1758
46,28,-275,593,-372,2229
30,25,-247,-207,-391,2142
35,75,-260,491,-194,2112
34,63,-236,-395,-145,1573
46,91,-261,410,6,1266
38,89,-236,-1236,-64,728
31,91,-251,285,137,358
44,69,-254,535,209,192
49,84,-263,-852,-8,-253
61,150,-244,-1205,106,-1006
33,145,-248,1167,312,-1631
48,54,-251,1136,366,-2083
49,23,-259,-427,284,-2174
43,26,-255,-633,410,-2124
61,27,-266,-251,477,-1938
66,23,-265,-439,327,-1566
66,46,-273,-455,74,-1005
59,42,-273,566,-33,-370
44,18,-254,-132,-129,79
39,68,-260,-620,-179,280
31,57,-261,848,-63,593
40,19,-258,344,-170,923
37,16,-267,-54,-229,1258
38,33,-272,349,-308,1492
32,26,-262,416,-182,1705
19,8,-248,-423,-186,1594
40,54,-273,454,-70,1697
28,50,-244,-309,-176,1292
37,45,-269,1460,100,1150
27,32,-239,-1571,-168,734
32,70,-265,24,75,342
27,42,-254,353,131,260
40,44,-261,-517,9,-42
31,65,-268,181,11,-246
50,71,-259,-282,-79,-666
35,95,-253,-166,23,-1151
29,69,-252,151,172,-1587
28,64,-252,0,317,-1816
31,9,-243,-159,383,-1904
44,19,-261,-359,419,-1758
56,23,-262,-576,345,-1516
67,41,-273,-560,206,-1232
48,34,-272,-262,51,-877
46,39,-258,161,-40,-350
33,58,-259,96,-73,-98
29,29,-253,-31,-25,117
34,53,-265,222,-98,494
52,16,-259,205,-191,927
42,-7,-268,437,-260,1514
55,37,-279,-234,-473,1733
10,4,-256,1034,-197,1921
40,30,-261,586,-35,1952
13,43,-249,-622,-44,1392
17,26,-257,1636,214,1402
52,41,-246,-1203,48,989
18,60,-252,-1133,40,535
37,65,-257,441,175,492
36,38,-254,-556,74,252
40,64,-270,38,48,-10
34,62,-258,-32,-8,-282
41,70,-258,-141,-27,-651
42,90,-264,-234,-5,-1142
34,81,-254,223,117,-1573
38,70,-255,125,272,-1897
29,11,-235,421,409,-1982
54,1,-260,-226,527,-1945
66,6,-273,188,531,-1570
73,-12,-269,-998,185,-1294
64,48,-293,-152,-44,-708
53,29,-254,236,-130,-412
43,51,-254,-445,-197,-305
39,24,-273,605,8,3
41,0,-270,-121,-138,417
53,11,-269,65,-239,904
44,-5,-257,116,-263,1398
49,28,-270,52,-345,1619
26,2,-269,457,-205,1807
26,23,-265,124,-181,1785
27,36,-263,387,35,1595
33,32,-254,174,101,1314
42,38,-259,-16,73,1119
39,44,-252,-537,-5,786
27,53,-256,-176,5,576
30,37,-255,39,114,392
39,57,-260,-419,22,95
38,61,-264,142,14,-204
