-2,43,-259,95,71,-138
12,39,-256,122,27,-211
-10,31,-262,26,36,-8
-4,28,-256,169,30,30
-9,25,-262,-34,65,25
-4,27,-260,-104,57,-3
-6,24,-261,-84,64,-32
0,26,-257,11,59,15
-11,12,-235,-40,206,41
0,8,-199,-102,515,125
16,16,-210,-67,879,233
35,24,-227,-203,1285,267
84,34,-250,-502,1466,488
127,49,-277,-222,1336,433
153,61,-266,-261,1189,178
163,58,-266,-355,1056,-17
176,62,-220,-494,627,94
186,72,-240,66,233,28
181,65,-245,129,-194,-20
172,58,-239,156,-379,38
165,52,-258,-19,-588,-94
180,58,-258,188,-1016,-103
139,59,-264,236,-1284,-303
116,45,-280,-38,-1518,-79
73,55,-270,347,-1743,-330
24,34,-241,2,-1674,-338
25,33,-228,237,-1701,-305
-48,27,-229,133,-1429,-266
-52,19,-197,165,-1228,-16
-105,21,-223,274,-712,-202
-115,3,-204,-14,-406,64
-110,7,-202,-81,-116,24
-125,1,-215,-65,93,137
-115,4,-196,-126,287,83
-103,7,-210,-130,544,112
-104,10,-235,-147,847,166
-60,24,-228,-265,936,320
-53,27,-266,-242,1118,181
-28,30,-223,-268,1165,352
-9,31,-238,-253,1416,236
43,51,-215,-391,1739,446
98,56,-220,-550,2176,377
147,76,-229,-342,2139,358
183,86,-256,-421,2091,303
237,83,-226,-285,1544,219
222,94,-229,-80,825,216
255,57,-241,304,156,96
190,67,-202,-79,-67,-135
210,80,-178,6,-25,53
210,76,-193,252,-125,27
239,58,-223,159,-633,66
231,68,-250,-133,-1154,-62
226,86,-270,412,-1871,-48
176,75,-259,506,-2518,-115
117,36,-252,525,-2626,-349
77,54,-214,210,-2545,-276
4,27,-184,592,-2268,-230
-65,9,-189,205,-1563,-231
-93,1,-181,-259,-662,-113
-86,19,-205,-331,-73,-111
-109,15,-228,-255,82,-24
-109,21,-217,12,11,76
-111,15,-220,-63,260,38
-89,21,-221,-125,496,50
-78,27,-223,-75,701,271
-53,25,-222,-128,910,244
-53,29,-220,-408,1361,191
-12,26,-205,-534,1787,626
54,47,-216,-508,2422,454
110,69,-217,-852,2653,584
205,105,-234,-286,2472,611
239,109,-219,-483,2053,168
250,123,-200,-290,1484,187
244,115,-204,194,867,-46
217,53,-199,-512,133,-98
224,90,-182,-78,-95,20
233,91,-150,214,-160,31
232,79,-160,82,-227,-25
245,86,-211,142,-543,-27
255,92,-242,110,-1394,-140
246,120,-262,861,-2060,-237
186,83,-256,862,-2605,-313
112,66,-235,954,-2573,-499
101,56,-208,305,-2371,-476
12,39,-209,263,-2092,-552
-30,22,-196,165,-1476,-177
-62,14,-209,188,-958,-127
-99,7,-214,11,-475,-119
-107,13,-216,-162,-129,-49
-105,11,-229,13,-10,75
-113,20,-227,-124,91,84
-109,10,-202,-60,189,82
-93,20,-212,-154,462,109
-73,17,-190,-318,970,448
-15,25,-192,-448,1551,493
