-6,46,-257,-36,5,21
-9,43,-261,-19,22,0
-15,31,-265,1888,115,39
-1,59,-289,3773,211,-234
7,-189,-221,3376,278,-926
39,-166,-217,2673,337,-1403
48,-169,-164,1839,299,-1280
59,-187,-126,1318,336,-1076
82,-205,-122,819,260,-644
96,-225,-102,326,141,-285
107,-215,-112,-55,19,86
109,-213,-115,-225,-61,255
98,-224,-114,-579,-85,288
105,-212,-123,-1047,-239,645
78,-217,-118,-2710,-428,988
94,-228,-156,-8088,-997,1099
19,77,-111,-8680,-1057,-27
-37,323,-230,-1601,-574,85
-32,202,-237,2443,31,270
-13,92,-269,1281,361,165
9,91,-256,620,214,232
16,68,-247,722,45,305
18,88,-243,-306,-59,229
6,78,-246,-74,-93,238
-2,98,-253,-216,-41,176
2,85,-251,-223,-38,128
0,100,-253,-74,-8,75
-1,98,-251,-66,-1,36
3,91,-251,-42,-4,29
10,100,-251,-72,-25,19
6,94,-248,-165,-39,10
7,97,-247,-479,-14,4
7,111,-250,-404,11,23
5,126,-251,-591,-1,33
7,182,-242,-520,42,-14
14,372,-236,7000,81,309
-9,-240,-41,8820,483,501
16,-9,-272,1785,330,-768
41,-168,-168,925,269,-1006
55,-203,-170,586,293,-776
81,-203,-161,295,115,-406
69,-190,-161,101,18,-13
82,-188,-157,-113,-62,155
72,-204,-154,-344,-52,232
73,-218,-150,-948,-27,363
58,-162,-193,-3961,-154,647
86,-124,-175,-8259,-708,228
25,244,-137,-6388,-941,-590
-10,252,-249,568,-570,-176
-14,117,-226,443,-60,42
-1,153,-230,50,129,129
7,146,-228,411,134,145
15,147,-231,361,69,116
11,132,-231,-6,1,96
13,144,-231,171,-1,107
17,130,-235,-82,-8,46
15,140,-236,14,-24,33
11,135,-238,24,-17,21
9,131,-238,-31,4,19
10,133,-238,-45,-5,21
11,137,-232,-112,-7,6
9,132,-237,-55,-1,15
9,128,-236,-161,-45,43
3,134,-241,-574,-33,46
1,121,-238,-746,-58,201
5,253,-239,1876,-89,235
-22,126,-129,10441,136,1020
22,-445,-136,3330,527,74
66,-137,-221,1649,237,-473
42,-145,-196,1124,105,-695
67,-148,-160,723,109,-520
63,-219,-147,204,27,-275
65,-213,-138,-110,19,-83
75,-189,-155,-93,24,-33
63,-194,-155,-243,14,65
82,-209,-159,-1089,-154,302
58,-284,-158,-6717,-413,230
64,53,-160,-7834,-615,-339
17,205,-170,-4901,-473,-767
9,202,-256,1753,-634,-271
-29,112,-243,-666,-175,-96
5,164,-214,-22,91,114
2,151,-216,-44,132,38
5,151,-224,-159,118,22
7,149,-225,-40,25,32
7,164,-223,-48,46,6
9,148,-221,-17,59,21
12,164,-225,51,59,-6
7,146,-228,-132,-5,-1
9,159,-222,80,-27,33
8,157,-220,-66,-4,29
7,153,-224,-64,9,1
3,159,-227,-19,21,28
4,162,-230,397,39,33
0,336,-236,8941,312,263
0,-320,27,8527,652,558
28,43,-273,1401,232,-441
41,-194,-154,174,-5,-394
45,-201,-173,228,47,-223
37,-188,-165,172,42,-239
51,-208,-162,-26,79,-160
63,-198,-168,-17,8,-94
57,-208,-162,-253,-46,73
64,-190,-178,-359,-90,198
55,-182,-187,-1335,-288,397
33,-204,-177,-3448,-345,492
41,-73,-207,-5829,-679,379
9,38,-201,-6305,-818,-84
-23,275,-190,-3521,-513,-274
-36,219,-194,-1186,-106,-163
-24,208,-183,-22,63,71
-18,247,-182,-186,39,82
-19,195,-175,146,60,84
-15,224,-170,383,43,89
-17,204,-179,233,72,65
-14,200,-181,151,90,66
-13,206,-185,126,84,26
-12,190,-190,107,40,16
-9,182,-189,-161,40,27
-6,209,-191,161,11,15
-11,207,-193,-229,29,-18
