TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
101,-16.0,263.0,-50.0,53.0,33.0,77.0,
102,-8.0,292.0,-39.0,535.0,232.0,152.0,
103,-33.0,253.0,-39.0,2605.0,561.0,579.0,
104,6.0,244.0,-102.0,2268.0,-580.0,427.0,
105,-23.0,190.0,-149.0,2452.0,-365.0,544.0,
106,-25.0,123.0,-181.0,2525.0,-505.0,481.0,
107,-8.0,95.0,-213.0,2917.0,112.0,541.0,
108,13.0,20.0,-237.0,3225.0,40.0,364.0,
109,11.0,-8.0,-275.0,2009.0,817.0,18.0,
110,27.0,-32.0,-270.0,870.0,316.0,329.0,
111,38.0,-62.0,-275.0,423.0,392.0,173.0,
112,54.0,-48.0,-259.0,32.0,-188.0,108.0,
113,41.0,-45.0,-261.0,-206.0,-9.0,31.0,
114,39.0,-47.0,-261.0,-19.0,102.0,48.0,
115,38.0,-47.0,-258.0,-544.0,-294.0,83.0,
116,42.0,-35.0,-286.0,-1166.0,-257.0,230.0,
117,35.0,-10.0,-293.0,-2252.0,165.0,-311.0,
118,48.0,35.0,-290.0,-2736.0,297.0,-486.0,
119,2.0,94.0,-235.0,-3673.0,160.0,-698.0,
120,14.0,133.0,-170.0,-3452.0,238.0,-277.0,
121,-32.0,183.0,-97.0,-2419.0,-292.0,-681.0,
122,111.0,208.0,-91.0,-2156.0,-10.0,-29.0,
123,29.0,256.0,-52.0,-829.0,-117.0,-1164.0,
124,5.0,283.0,-17.0,-1018.0,-378.0,-438.0,
125,-21.0,272.0,-56.0,159.0,453.0,-342.0,
126,-41.0,291.0,-87.0,283.0,180.0,60.0,
127,-19.0,267.0,-62.0,-104.0,-442.0,3.0,
128,-4.0,264.0,-60.0,-10.0,-65.0,-13.0,
129,-24.0,303.0,-37.0,382.0,-426.0,163.0,
130,-25.0,258.0,-69.0,2084.0,-19.0,402.0,
131,-49.0,211.0,-105.0,3356.0,-663.0,706.0,
132,2.0,154.0,-159.0,2495.0,-523.0,-213.0,
133,-46.0,113.0,-221.0,2571.0,750.0,-454.0,
134,28.0,76.0,-248.0,1304.0,642.0,185.0,
