TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis
100,-34.0,-254.0,-24.0,2654.0,-750.0,-215.0,
101,-59.0,-240.0,-10.0,1507.0,-657.0,308.0,
102,-14.0,-284.0,13.0,920.0,-410.0,-65.0,
103,-10.0,-270.0,32.0,-9.0,-70.0,228.0,
104,-15.0,-263.0,41.0,252.0,-154.0,-73.0,
105,-2.0,-271.0,35.0,-447.0,99.0,42.0,
106,-26.0,-266.0,17.0,-1217.0,164.0,211.0,
107,-81.0,-271.0,-3.0,-2115.0,445.0,339.0,
108,35.0,-308.0,-97.0,-3132.0,712.0,-13.0,
109,-25.0,-215.0,-69.0,-4383.0,-135.0,310.0,
110,-62.0,-198.0,-156.0,-3950.0,-390.0,733.0,
111,-78.0,-138.0,-205.0,-3828.0,-178.0,183.0,
112,-56.0,-69.0,-165.0,-4305.0,735.0,-766.0,
113,46.0,-10.0,-223.0,-1288.0,786.0,-930.0,
114,-43.0,99.0,-246.0,-1063.0,-446.0,-16.0,
115,2.0,75.0,-243.0,158.0,-352.0,-186.0,
116,-52.0,80.0,-252.0,95.0,-218.0,-16.0,
117,-34.0,76.0,-253.0,-170.0,94.0,-12.0,
118,-33.0,78.0,-246.0,483.0,82.0,108.0,
119,-23.0,55.0,-243.0,1015.0,-44.0,9.0,
120,-33.0,46.0,-237.0,1862.0,-363.0,256.0,
121,-81.0,-6.0,-250.0,2820.0,1079.0,845.0,
122,46.0,-77.0,-258.0,2969.0,990.0,290.0,
123,4.0,-139.0,-194.0,3000.0,285.0,217.0,
124,-14.0,-166.0,-164.0,2478.0,81.0,164.0,
125,10.0,-209.0,-128.0,2714.0,301.0,-331.0,
126,15.0,-245.0,-97.0,3436.0,-84.0,-88.0,
127,-14.0,-240.0,-36.0,2590.0,-264.0,56.0,
128,-9.0,-276.0,-5.0,1620.0,-370.0,209.0,
129,-18.0,-284.0,3.0,688.0,-114.0,71.0,
130,-7.0,-276.0,40.0,132.0,45.0,81.0,
131,7.0,-265.0,50.0,36.0,-286.0,174.0,
132,-18.0,-279.0,26.0,-923.0,41.0,231.0,
133,-24.0,-277.0,-22.0,-2248.0,-132.0,349.0,
134,-32.0,-313.0,-97.0,-3574.0,1032.0,276.0,
135,8.0,-223.0,-112.0,-4928.0,520.0,399.0,
136,-112.0,-325.0,-170.0,-4595.0,565.0,-309.0,
137,12.0,-109.0,-159.0,-3531.0,-211.0,-95.0,
138,-46.0,-54.0,-232.0,-2313.0,216.0,-309.0,
139,62.0,-5.0,-252.0,-1866.0,-14.0,-1045.0,
140,-17.0,35.0,-223.0,-1781.0,-700.0,-483.0,
141,-36.0,84.0,-239.0,-882.0,-483.0,-334.0,
142,-62.0,103.0,-260.0,-188.0,-340.0,-44.0,
143,-32.0,92.0,-271.0,247.0,149.0,39.0,
144,-42.0,79.0,-252.0,278.0,-38.0,156.0,
145,-31.0,74.0,-237.0,624.0,149.0,59.0,
146,-40.0,67.0,-234.0,2006.0,121.0,400.0,
147,-19.0,3.0,-244.0,2485.0,78.0,698.0,
148,-38.0,-38.0,-203.0,2988.0,-308.0,560.0,
149,-66.0,-133.0,-167.0,3139.0,555.0,123.0,
150,-8.0,-167.0,-149.0,2672.0,423.0,-62.0,
151,-19.0,-213.0,-92.0,3040.0,-78.0,-173.0,
152,-24.0,-216.0,-76.0,3315.0,-354.0,-271.0,
153,-35.0,-265.0,17.0,2657.0,-1242.0,93.0,
154,-9.0,-259.0,-5.0,1689.0,-504.0,-175.0,
155,-47.0,-278.0,14.0,922.0,-141.0,-56.0,
156,-22.0,-283.0,49.0,477.0,-120.0,310.0,
157,7.0,-287.0,69.0,-81.0,-170.0,34.0,
158,-28.0,-284.0,37.0,-1359.0,346.0,201.0,
159,-23.0,-290.0,-4.0,-1702.0,348.0,198.0,
160,-15.0,-289.0,-67.0,-2967.0,393.0,1155.0,
161,-17.0,-281.0,-80.0,-3768.0,1084.0,441.0,
162,-62.0,-226.0,-107.0,-5394.0,1032.0,256.0,
163,-37.0,-152.0,-145.0,-3193.0,204.0,351.0,
164,-28.0,-68.0,-221.0,-3172.0,100.0,48.0,
165,-17.0,-46.0,-206.0,-2405.0,784.0,-66.0,
166,-26.0,42.0,-150.0,-2178.0,-307.0,-867.0,
167,35.0,63.0,-235.0,-555.0,-414.0,-520.0,
168,-51.0,118.0,-252.0,-367.0,-374.0,-359.0,
169,7.0,59.0,-281.0,105.0,271.0,-35.0,
170,-37.0,65.0,-266.0,402.0,-129.0,138.0,
171,-22.0,48.0,-258.0,293.0,86.0,3.0,
172,-18.0,51.0,-253.0,71.0,28.0,32.0,
