TimeStamp,AccXAxis,AccYAxis,AccZAxis,GyroXAxis,GyroYAxis,GyroZAxis,,AccXAxisAvg5,AccYAxisAvg5,AccZAxisAvg5,GyroXAxisAvg5,GyroYAxisAvg5,GyroZAxisAvg5,,AccXAxisAvg10,AccYAxisAvg10,AccZAxisAvg10,GyroXAxisAvg10,GyroYAxisAvg10,GyroZAxisAvg10,,AccXAxisAvg15,AccYAxisAvg15,AccZAxisAvg15,GyroXAxisAvg15,GyroYAxisAvg15,GyroZAxisAvg15
26,224,118,-26,21,-533,-367,,166.6,108.8,-91.8,1527,-1344,-269.2,,108,89.8,-190.2,855.1,-1171.4,-73.6,,87.8461538462,83.7692307692,-209,683.6923076923,-927.0769230769,-51.8461538462
27,187,113,-48,815,-974,-353,,137,101.6,-134.2,1738.4,-1562.6,-172.2,,87.3,83.7,-215.5,869,-1149.4,-35.6,,71.6153846154,79.7692307692,-227.0769230769,660.8461538462,-881.5384615385,-21.8461538462
28,174,122,-82,1376,-1131,-453,,111,92,-189.6,1685.2,-1660.8,-28.4,,71.3,79.1,-237.3,782.3,-1055.7,-2.1,,58.6153846154,75.4615384615,-244,583.3076923077,-806.6923076923,9.0769230769
29,136,103,-82,2661,-2390,-533,,86,84.6,-233.8,1242.2,-1619.2,90.4,,55.7,73.6,-256.1,667.6,-941.4,49.9,,45.6923076923,71.9230769231,-262.1538461538,406.3846153846,-683.6153846154,53.3076923077
30,112,88,-221,2762,-1692,360,,64.2,77,-275.8,698.6,-1270.4,216.2,,43.4,69.9,-274,373.9,-696.5,105.5,,36,70.5384615385,-281.0769230769,207.6153846154,-400.3076923077,109.0769230769
31,76,82,-238,1078,-1626,118,,49.4,70.8,-288.6,183.2,-998.8,122,,34,66.8,-278.7,78.4,-527.4,74.4,,29.3846153846,70.3076923077,-289.1538461538,35.1538461538,-86.9230769231,69.9230769231
32,57,65,-325,549,-1465,366,,37.6,65.8,-296.8,-0.4,-736.2,101,,27,66.2,-286.7,-121.8,-317.9,74.8,,32.6153846154,65.8461538462,-290.5384615385,-85.1538461538,211.2307692308,45.8461538462
33,49,85,-303,-839,-923,141,,31.6,66.2,-285,-120.6,-450.6,24.2,,22.3,68.2,-287,-169,-42.1,57.4,,36.4615384615,66.8461538462,-281,-230.7692307692,490.1538461538,16.1538461538
34,27,65,-292,-57,-646,96,,25.4,62.6,-278.4,93,-263.6,9.4,,20,68.2,-289.3,-33.1,288.4,28.4,,43.4615384615,66.9230769231,-267.9230769231,-275.6153846154,700,21
35,38,57,-285,185,-334,-111,,22.6,62.8,-272.2,49.2,-122.6,-5.2,,29.1,64.1,-285.7,-76,578,-0.7,,52.7692307692,71.8461538462,-251.0769230769,-436.3076923077,854.5384615385,38.1538461538
36,17,57,-279,160,-313,13,,18.6,62.8,-268.8,-26.4,-56,26.8,,36,66.2,-277.3,-228.9,827.5,8.4,,63.8461538462,75.6923076923,-233.6923076923,-495.0769230769,997.7692307692,113.6923076923
37,27,67,-266,-52,-37,-18,,16.4,66.6,-276.6,-243.2,100.4,48.6,,48.3,69.1,-262.7,-387.1,1039.3,27.5,,79.3076923077,76.6153846154,-210.2307692308,-438.3076923077,1088,146.1538461538
38,18,67,-270,229,12,67,,13,70.2,-289,-217.4,366.4,90.6,,60.4,75.3,-243.4,-596.5,1179.3,61.2,,96.4615384615,76.5384615385,-194.3846153846,-423.8461538462,1116,159.9230769231
39,13,66,-261,-276,59,23,,14.6,73.8,-300.2,-159.2,840.4,47.4,,76.8,79.3,-222.3,-677.3,1330.9,141.6,,114.5384615385,79.6153846154,-176.0769230769,-592.2307692308,1151.8461538462,174.7692307692
40,18,57,-268,-193,-1,49,,35.6,65.4,-299.2,-201.2,1278.6,3.8,,97.3,79.6,-193.6,-559.9,1411,182.8,,131.0769230769,82.4615384615,-157.3076923077,-601.3846153846,1150.3846153846,178.6153846154
41,6,76,-318,-924,469,122,,53.4,69.6,-285.8,-431.4,1711,-10,,120.5,80.5,-172.8,-527,1443.8,194,,148.8461538462,85,-137,-572,1128.3076923077,169.8461538462
42,10,85,-328,77,1293,192,,80.2,71.6,-248.8,-531,1978.2,6.4,,145.2,83.6,-144.2,-630.6,1444.7,207.8,,167.0769230769,86.7692307692,-114.1538461538,-446.6923076923,1051.0769230769,162.9230769231
